NYSE:DUK,DUK,Duke Energy Corporation,78.93,$58B,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/duk
NYSE:DUK^A,DUK^A,Duke Energy Corporation,27.08,n/a,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/duk^a
NYSE:DUKB,DUKB,Duke Energy Corporation,26.63,n/a,2018,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/dukb
NYSE:DUKH,DUKH,Duke Energy Corporation,25.63,n/a,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/dukh
NYSE:DRE,DRE,Duke Realty Corporation,34.58,$12.74B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/dre
NYSE:DD,DD,"DuPont de Nemours, Inc.",51.42,$37.73B,2017,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/dd
NYSE:DXC,DXC,DXC Technology Company,15.48,$3.93B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/dxc
NYSE:DY,DY,"Dycom Industries, Inc.",38.3,$1.21B,n/a,Basic Industries,Water Supply,https://old.nasdaq.com/symbol/dy
NYSE:DLNG,DLNG,Dynagas LNG Partners LP,3.78,$134.15M,n/a,Consumer Services,Marine Transportation,https://old.nasdaq.com/symbol/dlng
NYSE:DLNG^A,DLNG^A,Dynagas LNG Partners LP,21.296,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dlng^a
NYSE:DLNG^B,DLNG^B,Dynagas LNG Partners LP,18.4383,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dlng^b
NYSE:DT,DT,"Dynatrace, Inc.",41.4,$11.63B,2019,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/dt
NYSE:DX,DX,"Dynex Capital, Inc.",13.86,$318.53M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/dx
NYSE:DX^B,DX^B,"Dynex Capital, Inc.",23.2,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dx^b
NYSE:DX^C,DX^C,"Dynex Capital, Inc.",22.6,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dx^c
NYSE:CTA^A,CTA^A,E.I. du Pont de Nemours and Company,80.99,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cta^a
NYSE:CTA^B,CTA^B,E.I. du Pont de Nemours and Company,99.5,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cta^b
NYSE:ELF,ELF,"e.l.f. Beauty, Inc.",17.88,$894.16M,2016,Consumer Non-Durables,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/elf
NYSE:EGIF,EGIF,Eagle Growth and Income Opportunities Fund,13.48,$96.04M,2015,n/a,n/a,https://old.nasdaq.com/symbol/egif
NYSE:EXP,EXP,Eagle Materials Inc,68.91,$2.87B,n/a,Capital Goods,Building Materials,https://old.nasdaq.com/symbol/exp
NYSE:ECC,ECC,Eagle Point Credit Company Inc.,6.65,$198.54M,2014,n/a,n/a,https://old.nasdaq.com/symbol/ecc
NYSE:ECCB,ECCB,Eagle Point Credit Company Inc.,23.8333,n/a,2016,n/a,n/a,https://old.nasdaq.com/symbol/eccb
NYSE:ECCX,ECCX,Eagle Point Credit Company Inc.,23.17,n/a,2018,n/a,n/a,https://old.nasdaq.com/symbol/eccx
NYSE:ECCY,ECCY,Eagle Point Credit Company Inc.,23.91,n/a,2017,n/a,n/a,https://old.nasdaq.com/symbol/eccy
NYSE:EIC,EIC,Eagle Point Income Company Inc.,13.5,n/a,2019,n/a,n/a,https://old.nasdaq.com/symbol/eic
NYSE:ESTE,ESTE,"Earthstone Energy, Inc.",2.77,$179.81M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/este
NYSE:DEA,DEA,"Easterly Government Properties, Inc.",22.77,$1.71B,2015,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/dea
NYSE:EGP,EGP,"EastGroup Properties, Inc.",113.73,$4.44B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/egp
NYSE:EMN,EMN,Eastman Chemical Company,67.28,$9.14B,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/emn
NYSE:KODK,KODK,Eastman Kodak Company,2.3,$100.59M,n/a,Miscellaneous,Industrial Machinery/Components,https://old.nasdaq.com/symbol/kodk
