NASDAQ:KHC,KHC,The Kraft Heinz Company,30.9,$37.75B,n/a,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/khc
NASDAQ:OLD,OLD,The Long-Term Care ETF,22.9942,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/old
NASDAQ:LOVE,LOVE,The Lovesac Company,26.58,$385.96M,2018,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/love
NASDAQ:MEET,MEET,"The Meet Group, Inc.",6.21,$445.9M,n/a,Consumer Services,Advertising,https://old.nasdaq.com/symbol/meet
NASDAQ:MIK,MIK,"The Michaels Companies, Inc.",6.5,$957.71M,2014,Consumer Services,Recreational Products/Toys,https://old.nasdaq.com/symbol/mik
NASDAQ:MIDD,MIDD,The Middleby Corporation,72.98,$4.06B,n/a,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/midd
NASDAQ:STKS,STKS,"The ONE Group Hospitality, Inc.",1.64,$47.28M,n/a,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/stks
NASDAQ:PECK,PECK,"The Peck Company Holdings, Inc.",3.8501,$20.4M,2016,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/peck
NASDAQ:PNTG,PNTG,"The Pennant Group, Inc.",20.85,$581.89M,n/a,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/pntg
NASDAQ:PRSC,PRSC,The Providence Service Corporation,73.95,$1.02B,2003,Consumer Services,Transportation Services,https://old.nasdaq.com/symbol/prsc
NASDAQ:REAL,REAL,"The RealReal, Inc.",13.4,$1.16B,2019,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/real
NASDAQ:RMR,RMR,The RMR Group Inc.,28.52,$893.09M,n/a,Consumer Services,Professional Services,https://old.nasdaq.com/symbol/rmr
NASDAQ:RUBI,RUBI,"The Rubicon Project, Inc.",6.22,$668.07M,n/a,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/rubi
