NASDAQ:TXG,TXG,"10x Genomics, Inc.",86.25,$8.48B,2019,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/txg
NASDAQ:YI,YI,"111, Inc.",6.78,$558.4M,2018,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/yi
NASDAQ:PIH,PIH,"1347 Property Insurance Holdings, Inc.",4.4201,$26.82M,2014,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/pih
NASDAQ:PIHPP,PIHPP,"1347 Property Insurance Holdings, Inc.",25.3,n/a,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/pihpp
NASDAQ:TURN,TURN,180 Degree Capital Corp.,1.78,$55.4M,n/a,Finance,Finance/Investors Services,https://old.nasdaq.com/symbol/turn
NASDAQ:FLWS,FLWS,"1-800-FLOWERS.COM, Inc.",19.87,$1.28B,1999,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/flws
NASDAQ:BCOW,BCOW,"1895 Bancorp of Wisconsin, Inc.",9.1,$45.14M,2019,Finance,Banks,https://old.nasdaq.com/symbol/bcow
NASDAQ:ONEM,ONEM,"1Life Healthcare, Inc.",31.9,$4.02B,2020,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/onem
NASDAQ:FCCY,FCCY,1st Constitution Bancorp (NJ),11.01,$112.32M,n/a,Finance,Savings Institutions,https://old.nasdaq.com/symbol/fccy
NASDAQ:SRCE,SRCE,1st Source Corporation,32.87,$839.36M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/srce
NASDAQ:VNET,VNET,"21Vianet Group, Inc.",24.56,$2.77B,2011,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/vnet
NASDAQ:TWOU,TWOU,"2U, Inc.",37.74,$2.41B,2014,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/twou
NASDAQ:QFIN,QFIN,"360 Finance, Inc.",11.26,$1.65B,2018,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/qfin
NASDAQ:KRKR,KRKR,36Kr Holdings Inc.,3.51,$131.61M,2019,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/krkr
NASDAQ:JOBS,JOBS,"51job, Inc.",68.58,$4.59B,2004,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/jobs
NASDAQ:ETNB,ETNB,"89bio, Inc.",21.25,$293.12M,2019,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/etnb
NASDAQ:JFK,JFK,8i Enterprises Acquisition Corp,10.1,$75.02M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/jfk
NASDAQ:JFKKR,JFKKR,8i Enterprises Acquisition Corp,0.296,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/jfkkr
NASDAQ:JFKKU,JFKKU,8i Enterprises Acquisition Corp,10.5,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/jfkku
NASDAQ:JFKKW,JFKKW,8i Enterprises Acquisition Corp,0.41,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/jfkkw
NASDAQ:EGHT,EGHT,8x8 Inc,15.47,$1.6B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/eght
NASDAQ:NMTR,NMTR,"9 Meters Biopharma, Inc.",0.5348,$51.48M,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/nmtr
NASDAQ:JFU,JFU,9F Inc.,3.8499,$746.33M,2019,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/jfu
NASDAQ:AAON,AAON,"AAON, Inc.",50.73,$2.64B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aaon
NASDAQ:ABEO,ABEO,Abeona Therapeutics Inc.,2.805,$234.77M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abeo
NASDAQ:ABMD,ABMD,"ABIOMED, Inc.",239.27,$10.76B,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/abmd
NASDAQ:AXAS,AXAS,Abraxas Petroleum Corporation,0.2472,$41.63M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/axas
NASDAQ:ACIU,ACIU,AC Immune SA,6.75,$485.05M,2016,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aciu
NASDAQ:ACIA,ACIA,"Acacia Communications, Inc.",68.3,$2.85B,2016,Technology,Semiconductors,https://old.nasdaq.com/symbol/acia
NASDAQ:ACTG,ACTG,Acacia Research Corporation,4.08,$198.72M,n/a,Miscellaneous,Multi-Sector Companies,https://old.nasdaq.com/symbol/actg
NASDAQ:ACHC,ACHC,"Acadia Healthcare Company, Inc.",24.61,$2.19B,n/a,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/achc
NASDAQ:ACAD,ACAD,ACADIA Pharmaceuticals Inc.,47.93,$7.47B,1985,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acad
NASDAQ:ACAM,ACAM,Acamar Partners Acquisition Corp.,10.25,$391.52M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/acam
NASDAQ:ACAMU,ACAMU,Acamar Partners Acquisition Corp.,10.39,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/acamu
NASDAQ:ACAMW,ACAMW,Acamar Partners Acquisition Corp.,0.99,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/acamw
NASDAQ:ACST,ACST,"Acasti Pharma, Inc.",0.555,$50.07M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acst
NASDAQ:AXDX,AXDX,"Accelerate Diagnostics, Inc.",14.215,$785.67M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/axdx
NASDAQ:ACCP,ACCP,"Accelerated Pharma, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/accp
NASDAQ:XLRN,XLRN,Acceleron Pharma Inc.,97.86,$5.27B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/xlrn
NASDAQ:ARAY,ARAY,Accuray Incorporated,2.2,$199.03M,2007,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/aray
NASDAQ:ACRX,ACRX,"AcelRx Pharmaceuticals, Inc.",1.22,$98.53M,2011,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acrx
NASDAQ:ACER,ACER,Acer Therapeutics Inc.,3.52,$36.08M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acer
NASDAQ:ACHV,ACHV,"Achieve Life Sciences, Inc. ",0.4128,$15.49M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://old.nasdaq.com/symbol/achv
NASDAQ:ACIW,ACIW,"ACI Worldwide, Inc.",26.26,$3.04B,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/aciw
NASDAQ:ACRS,ACRS,"Aclaris Therapeutics, Inc.",1.48,$61.96M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acrs
NASDAQ:ACMR,ACMR,"ACM Research, Inc.",60.67,$1.1B,2017,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/acmr
NASDAQ:ACNB,ACNB,ACNB Corporation,24.14,$209.29M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/acnb
NASDAQ:ACOR,ACOR,"Acorda Therapeutics, Inc.",0.75,$35.99M,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/acor
NASDAQ:ATVI,ATVI,"Activision Blizzard, Inc",76.4,$58.87B,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/atvi
NASDAQ:ADMS,ADMS,"Adamas Pharmaceuticals, Inc.",2.6,$73.21M,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adms
NASDAQ:ADMP,ADMP,Adamis Pharmaceuticals Corporation,0.5797,$42.74M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/admp
NASDAQ:AHCO,AHCO,AdaptHealth Corp. ,16.85,$1.25B,2018,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/ahco
NASDAQ:ADAP,ADAP,Adaptimmune Therapeutics plc,9.48,$1.46B,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/adap
NASDAQ:ADPT,ADPT,Adaptive Biotechnologies Corporation,46.29,$5.87B,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/adpt
NASDAQ:ADXN,ADXN,Addex Therapeutics Ltd,9.8299,n/a,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adxn
NASDAQ:ADUS,ADUS,Addus HomeCare Corporation,89.1,$1.39B,2009,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/adus
NASDAQ:AEY,AEY,"ADDvantage Technologies Group, Inc.",2.97,$31.1M,n/a,Consumer Services,Office Equipment/Supplies/Services,https://old.nasdaq.com/symbol/aey
NASDAQ:IOTS,IOTS,Adesto Technologies Corporation,12.54,$391.87M,2015,Technology,Semiconductors,https://old.nasdaq.com/symbol/iots
NASDAQ:ADIL,ADIL,"Adial Pharmaceuticals, Inc",1.39,$18.69M,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adil
NASDAQ:ADILW,ADILW,"Adial Pharmaceuticals, Inc",0.34,n/a,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adilw
NASDAQ:ADTX,ADTX,"ADiTx Therapeutics, Inc.",n/a,n/a,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adtx
NASDAQ:ADMA,ADMA,ADMA Biologics Inc,2.97,$256.45M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/adma
NASDAQ:ADBE,ADBE,Adobe Inc.,426.92,$205.69B,1986,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/adbe
NASDAQ:ADTN,ADTN,"ADTRAN, Inc.",10.62,$509.31M,1994,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/adtn
NASDAQ:ADRO,ADRO,"Aduro Biotech, Inc.",2.18,$176.32M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adro
NASDAQ:ADES,ADES,"Advanced Emissions Solutions, Inc.",4.58,$84.7M,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/ades
NASDAQ:AEIS,AEIS,"Advanced Energy Industries, Inc.",62.81,$2.4B,1995,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aeis
NASDAQ:AMD,AMD,"Advanced Micro Devices, Inc.",50.1,$58.68B,n/a,Technology,Semiconductors,https://old.nasdaq.com/symbol/amd
NASDAQ:ADXS,ADXS,"Advaxis, Inc.",0.565,$34.81M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adxs
NASDAQ:ADVM,ADVM,"Adverum Biotechnologies, Inc.",18.95,$1.52B,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/advm
NASDAQ:DWEQ,DWEQ,AdvisorShares Dorsey Wright Alpha Equal Weight ETF,19.9389,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dweq
NASDAQ:DWAW,DWAW,AdvisorShares Dorsey Wright FSM All Cap World ETF,27.2436,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dwaw
NASDAQ:DWUS,DWUS,AdvisorShares Dorsey Wright FSM US Core ETF,26.756,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dwus
NASDAQ:DWMC,DWMC,AdvisorShares Dorsey Wright Micro-Cap ETF,20.4059,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dwmc
NASDAQ:DWSH,DWSH,AdvisorShares Dorsey Wright Short ETF,20.47,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dwsh
NASDAQ:ACT,ACT,AdvisorShares Vice ETF,22.1958,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/act
NASDAQ:AEGN,AEGN,Aegion Corp,14.39,$441.54M,n/a,Basic Industries,Water Supply,https://old.nasdaq.com/symbol/aegn
NASDAQ:AGLE,AGLE,"Aeglea BioTherapeutics, Inc.",9.21,$410.71M,2016,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/agle
NASDAQ:AEHR,AEHR,Aehr Test Systems,1.96,$45.11M,1997,Capital Goods,Electrical Products,https://old.nasdaq.com/symbol/aehr
NASDAQ:AMTX,AMTX,"Aemetis, Inc",0.807,$16.69M,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/amtx
NASDAQ:AERI,AERI,"Aerie Pharmaceuticals, Inc.",14.88,$691.45M,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/aeri
NASDAQ:AVAV,AVAV,"AeroVironment, Inc.",77.02,$1.85B,2007,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/avav
NASDAQ:ARPO,ARPO,"Aerpio Pharmaceuticals, Inc.",1.24,$50.33M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/arpo
NASDAQ:AIH,AIH,Aesthetic Medical International Holdings Group Ltd.,6.11,$144.27M,2019,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/aih
NASDAQ:AEZS,AEZS,AEterna Zentaris Inc.,0.83,$19.57M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aezs
NASDAQ:AEMD,AEMD,"Aethlon Medical, Inc.",2.07,$19.39M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/aemd
