Symbol,Ending Value,Starting Value,Positions Still Open,Total Positions Closed,Total Won,Total Lost,Strike Rate,Win Streak,Lose Streak,Net Profit or Loss,SQN Score,Max Drawdown %,Pyramid Limit,Total Bars,First Date Recorded,First Date Recorded Meets Requirements
TXG,21850.91,20000,0,2,2,0,100.0,2,0,1850.91,5.66,3.12,1,345,2019-12-23,False
TXG,32172.59,20000,0,1,1,0,100.0,1,0,12172.59,0,12.52,2,345,2019-12-23,False
YI,19926.01,20000,0,4,3,1,75.0,2,1,-73.99,-0.2,6.71,1,593,2018-12-24,False
YI,19925.71,20000,1,2,1,1,50.0,1,1,-74.29,-0.2,6.72,2,593,2018-12-24,False
TURN,21855.14,20000,0,6,5,1,83.33,3,1,1855.14,1.51,6.43,1,965,2017-07-07,False
TURN,24183.11,20000,0,4,3,1,75.0,2,1,4183.11,1.32,6.43,2,965,2017-07-07,False
FLWS,27612.68,20000,0,40,30,10,75.0,6,2,7612.68,2.15,15.43,1,4359,2004-01-13,True
FLWS,29234.29,20000,1,25,16,9,64.0,5,3,9234.29,1.59,26.84,2,4359,2004-01-13,True
FCCY,21675.2,20000,1,18,13,5,72.22,6,2,1675.2,0.53,12.98,1,3609,2004-02-12,True
FCCY,22895.84,20000,1,10,7,3,70.0,3,1,2895.84,0.46,26.33,2,3609,2004-02-12,True
SRCE,27703.54,20000,0,49,40,9,81.63,8,3,7703.54,3.55,9.38,1,4359,2004-01-13,True
SRCE,31169.760000000002,20000,0,29,21,8,72.41,6,2,11169.76,3.16,15.21,2,4359,2004-01-13,True
VNET,27626.93,20000,0,21,16,5,76.19,5,3,7626.93,1.45,25.74,1,2456,2011-08-03,False
VNET,38396.17,20000,0,14,9,5,64.29,3,3,18396.17,1.86,27.12,2,2456,2011-08-03,False
TWOU,25315.41,20000,0,15,12,3,80.0,9,1,5315.41,3.1,6.7,1,1719,2014-07-10,False
TWOU,30842.690000000002,20000,1,8,5,3,62.5,4,2,10842.69,1.14,24.34,2,1719,2014-07-10,False
QFIN,17901.73,20000,0,2,0,2,0.0,0,2,-2098.27,-2.02,15.82,1,531,2019-03-29,False
QFIN,17595.57,20000,0,1,0,1,0.0,0,1,-2404.43,0,20.65,2,531,2019-03-29,False
KRKR,19393.42,20000,0,2,1,1,50.0,1,1,-606.58,-0.45,22.07,1,303,2020-02-24,False
KRKR,17609.05,20000,1,1,0,1,0.0,0,1,-2390.95,0,32.4,2,303,2020-02-24,False
JOBS,24209.09,20000,1,35,26,9,74.29,6,2,4209.09,0.97,16.66,1,4108,2005-01-10,True
JOBS,38532.65,20000,1,20,13,7,65.0,3,2,18532.65,1.38,21.13,2,4108,2005-01-10,True
EGHT,19674.61,20000,0,29,20,9,68.97,6,4,-325.39,-0.1,27.98,1,4359,2004-01-13,True
EGHT,29095.59,20000,0,17,12,5,70.59,5,2,9095.59,1.11,45.39,2,4359,2004-01-13,True
JFU,19997.1,20000,1,1,0,1,0.0,0,1,-2.9,0,0.02,1,363,2019-11-25,False
JFU,19993.47,20000,1,1,0,1,0.0,0,1,-6.53,0,13.21,2,363,2019-11-25,False
AAON,28134.07,20000,0,44,37,7,84.09,19,2,8134.07,3.95,11.2,1,4359,2004-01-13,True
AAON,35565.89,20000,1,26,18,8,69.23,5,3,15565.89,2.69,11.73,2,4359,2004-01-13,True
ABEO,24492.14,20000,0,11,6,5,54.55,4,4,4492.14,0.92,21.38,1,1409,2015-10-01,False
ABEO,27054.45,20000,0,7,3,4,42.86,2,3,7054.45,0.61,25.27,2,1409,2015-10-01,False
ABMD,24890.05,20000,0,40,26,14,65.0,7,5,4890.05,1.43,12.17,1,4357,2004-01-13,True
ABMD,34709.9,20000,1,24,17,7,70.83,8,2,14709.9,1.41,20.4,2,4357,2004-01-13,True
AXAS,21560.5,20000,0,23,15,8,65.22,6,3,1560.5,0.32,25.11,1,3147,2008-11-04,False
AXAS,34570.65,20000,0,16,9,7,56.25,3,3,14570.65,1.23,22.33,2,3147,2008-11-04,False
ACIU,22390.67,20000,0,6,3,3,50.0,2,2,2390.67,1.08,8.95,1,1091,2017-01-05,False
ACIU,23589.7,20000,0,5,3,2,60.0,3,2,3589.7,1.32,23.24,2,1091,2017-01-05,False
ACIA,20749.72,20000,0,11,7,4,63.64,4,3,749.72,0.59,9.51,1,1183,2016-08-24,False
ACIA,22827.02,20000,0,7,5,2,71.43,4,1,2827.02,0.93,15.86,2,1183,2016-08-24,False
ACTG,19111.84,20000,1,30,15,15,50.0,6,4,-888.16,-0.18,31.17,1,4359,2004-01-13,True
ACTG,20963.39,20000,1,19,10,9,52.63,6,3,963.39,0.08,38.34,2,4359,2004-01-13,True
ACHC,21056.65,20000,0,15,11,4,73.33,3,2,1056.65,0.56,11.3,1,2322,2012-02-14,False
ACHC,26161.61,20000,1,9,7,2,77.78,4,2,6161.61,1.39,17.66,2,2322,2012-02-14,False
ACAD,23127.63,20000,0,29,18,11,62.07,7,4,3127.63,0.45,36.54,1,4191,2004-09-09,True
ACAD,30614.15,20000,1,19,12,7,63.16,3,2,10614.15,1.29,35.17,2,4191,2004-09-09,True
ACAM,18747.86,20000,0,6,1,5,16.67,1,4,-1252.14,-1.34,10.83,1,1117,2004-01-13,True
ACAM,18734.36,20000,0,3,1,2,33.33,1,2,-1265.64,-1.01,14.39,2,1117,2004-01-13,True
ACST,14067.48,20000,0,8,4,4,50.0,4,4,-5932.52,-0.88,54.07,1,2015,2013-04-22,False
ACST,7145.450000000001,20000,0,5,1,4,20.0,1,3,-12854.55,-1.67,71.66,2,2015,2013-04-22,False
AXDX,23245.760000000002,20000,0,17,13,4,76.47,9,2,3245.76,0.99,12.49,1,2034,2013-04-10,False
AXDX,21270.2,20000,0,9,4,5,44.44,3,3,1270.2,0.26,23.11,2,2034,2013-04-10,False
XLRN,22384.17,20000,0,16,10,6,62.5,4,3,2384.17,1.31,7.46,1,1850,2013-12-31,False
XLRN,22875.95,20000,1,10,6,4,60.0,3,3,2875.95,0.93,21.32,2,1850,2013-12-31,False
ARAY,20910.19,20000,0,36,27,9,75.0,14,2,910.19,0.23,18.14,1,3515,2007-05-22,False
ARAY,19379.2,20000,1,20,11,9,55.0,3,3,-620.8,-0.08,34.01,2,3515,2007-05-22,False
ACRX,25739.17,20000,1,19,13,6,68.42,5,2,5739.17,1.23,16.83,1,2481,2011-05-25,False
