Symbol,Ending Value,Starting Value,Positions Still Open,Total Positions Closed,Total Won,Total Lost,Strike Rate,Win Streak,Lose Streak,Net Profit or Loss,SQN Score,Max Drawdown %,Pyramid Limit,Total Bars,First Date Recorded,First Date Recorded Meets Requirements
ACRX,24360.09,20000,1,12,6,6,50.0,2,3,4360.09,0.69,29.17,2,2481,2011-05-25,False
ACER,19552.06,20000,1,5,3,2,60.0,2,2,-447.94,-0.09,22.77,1,841,2018-01-03,False
ACER,17912.92,20000,1,2,1,1,50.0,1,1,-2087.08,-0.89,31.05,2,841,2018-01-03,False
ACHV,19728.3,20000,0,3,1,2,33.33,1,2,-271.7,-1.77,1.99,1,875,2017-11-13,False
ACHV,14800.54,20000,1,2,0,2,0.0,0,2,-5199.46,-3.0,34.98,2,875,2017-11-13,False
ACIW,21397.04,20000,0,34,22,12,64.71,6,2,1397.04,0.59,16.01,1,3400,2007-11-02,False
ACIW,24020.43,20000,1,22,15,7,68.18,6,2,4020.43,1.02,17.58,2,3400,2007-11-02,False
ACRS,18638.84,20000,0,10,6,4,60.0,4,4,-1361.16,-0.23,34.27,1,1334,2016-01-20,False
ACRS,26489.34,20000,0,9,4,5,44.44,2,5,6489.34,0.63,38.88,2,1334,2016-01-20,False
ACMR,24321.09,20000,0,18,16,2,88.89,7,1,4321.09,2.41,7.67,1,2861,2004-01-13,True
ACMR,39059.82,20000,1,9,7,2,77.78,4,2,19059.82,1.04,27.06,2,2861,2004-01-13,True
ACNB,20127.01,20000,1,16,12,4,75.0,7,1,127.01,0.1,8.96,1,2463,2011-04-15,False
ACNB,22480.02,20000,1,10,8,2,80.0,8,1,2480.02,1.17,10.71,2,2463,2011-04-15,False
ACOR,30807.5,20000,0,28,17,11,60.71,5,4,10807.5,0.66,24.76,1,3763,2006-05-24,False
ACOR,49572.19,20000,0,21,10,11,47.62,5,3,29572.19,0.77,27.34,2,3763,2006-05-24,False
ATVI,22637.8,20000,0,46,32,14,69.57,10,2,2637.8,0.73,12.3,1,4339,2004-01-13,True
ATVI,25509.260000000002,20000,0,27,18,9,66.67,6,3,5509.26,0.79,21.16,2,4339,2004-01-13,True
ADMS,19185.96,20000,0,12,7,5,58.33,3,2,-814.04,-0.22,16.01,1,1710,2014-07-23,False
ADMS,18959.92,20000,0,7,4,3,57.14,3,2,-1040.08,-0.19,39.33,2,1710,2014-07-23,False
ADMP,43576.09,20000,0,14,10,4,71.43,3,1,23576.09,1.1,17.62,1,1790,2014-03-28,False
ADMP,47940.3,20000,0,8,3,5,37.5,1,3,27940.3,0.9,45.67,2,1790,2014-03-28,False
AHCO,22585.989999999998,20000,0,2,2,0,100.0,2,0,2585.99,179.71,1.72,1,303,2020-02-25,False
AHCO,25845.73,20000,0,1,1,0,100.0,1,0,5845.73,0,9.44,2,303,2020-02-25,False
ADAP,23171.41,20000,0,11,7,4,63.64,3,2,3171.41,1.02,12.93,1,1441,2015-08-17,False
ADAP,17600.09,20000,0,6,2,4,33.33,2,3,-2399.91,-0.49,32.81,2,1441,2015-08-17,False
ADPT,144693.85,20000,0,24,14,10,58.33,6,4,124693.85,1.03,28.03,1,2831,2004-01-13,True
ADPT,103679.64,20000,0,15,7,8,46.67,5,5,83679.64,1.24,59.36,2,2831,2004-01-13,True
ADUS,22740.989999999998,20000,0,21,15,6,71.43,8,2,2740.99,0.93,18.99,1,2827,2010-02-10,False
ADUS,29452.059999999998,20000,1,11,5,6,45.45,2,3,9452.06,1.01,28.06,2,2827,2010-02-10,False
AEY,24518.68,20000,1,23,13,10,56.52,4,4,4518.68,1.0,8.98,1,4244,2004-03-09,True
AEY,28255.34,20000,1,15,8,7,53.33,3,2,8255.34,1.16,24.5,2,4244,2004-03-09,True
IOTS,21915.85,20000,0,7,4,3,57.14,4,3,1915.85,0.48,18.23,1,1175,2016-02-09,False
IOTS,20835.68,20000,0,4,3,1,75.0,2,1,835.68,0.22,20.21,2,1175,2016-02-09,False
ADIL,21282.71,20000,0,1,1,0,100.0,1,0,1282.71,0,56.56,1,628,2018-11-06,False
ADIL,20145.91,20000,0,1,1,0,100.0,1,0,145.91,0,63.32,2,628,2018-11-06,False
ADMA,19812.16,20000,1,10,7,3,70.0,3,1,-187.84,-0.06,24.7,1,1560,2015-02-26,False
ADMA,18536.05,20000,1,6,4,2,66.67,2,1,-1463.95,-0.34,42.83,2,1560,2015-02-26,False
ADBE,25356.66,20000,0,46,33,13,71.74,7,3,5356.66,2.7,10.37,1,4359,2004-01-13,True
ADBE,35605.68,20000,0,28,22,6,78.57,13,2,15605.68,3.23,12.87,2,4359,2004-01-13,True
ADTN,18186.57,20000,0,38,24,14,63.16,6,3,-1813.43,-0.47,25.42,1,4359,2004-01-13,True
ADTN,19407.33,20000,0,23,12,11,52.17,3,4,-592.67,-0.09,35.77,2,4359,2004-01-13,True
ADRO,15470.58,20000,0,9,4,5,44.44,2,4,-4529.42,-1.17,34.94,1,1380,2015-07-27,False
ADRO,14228.51,20000,1,6,3,3,50.0,2,2,-5771.49,-0.84,44.41,2,1380,2015-07-27,False
ADES,21465.3,20000,0,27,18,9,66.67,4,2,1465.3,0.27,24.9,1,3732,2005-01-26,True
ADES,24793.69,20000,0,15,7,8,46.67,3,2,4793.69,0.57,45.62,2,3732,2005-01-26,True
AEIS,16249.76,20000,0,38,24,14,63.16,4,2,-3750.24,-0.83,34.59,1,4314,2004-01-13,True
AEIS,23634.86,20000,0,25,13,12,52.0,4,2,3634.86,0.4,28.61,2,4314,2004-01-13,True
AMD,29253.61,20000,0,40,26,14,65.0,6,3,9253.61,1.81,12.4,1,4359,2004-01-13,True
AMD,31935.3,20000,1,21,12,9,57.14,5,2,11935.3,1.27,33.8,2,4359,2004-01-13,True
ADXS,14657.630000000001,20000,0,10,5,5,50.0,3,3,-5342.37,-1.09,30.39,1,1830,2014-01-30,False
ADXS,10521.52,20000,0,7,3,4,42.86,1,2,-9478.48,-1.0,57.8,2,1830,2014-01-30,False
ADVM,18499.79,20000,1,8,4,4,50.0,2,3,-1500.21,-0.37,17.93,1,1184,2016-08-23,False
ADVM,22379.79,20000,1,5,3,2,60.0,2,1,2379.79,0.61,32.79,2,1184,2016-08-23,False
DWAW,20109.67,20000,0,1,1,0,100.0,1,0,109.67,0,0.97,1,255,2020-04-28,False
DWAW,20299.95,20000,0,1,1,0,100.0,1,0,299.95,0,1.56,2,255,2020-04-28,False
DWUS,20173.25,20000,0,1,1,0,100.0,1,0,173.25,0,0.63,1,244,2020-04-29,False
DWUS,20240.08,20000,0,1,1,0,100.0,1,0,240.08,0,1.25,2,244,2020-04-29,False
DWMC,19846.18,20000,0,2,1,1,50.0,1,1,-153.82,-1.39,2.84,1,463,2018-11-14,False
DWMC,19736.3,20000,1,1,0,1,0.0,0,1,-263.7,0,5.62,2,463,2018-11-14,False
DWSH,18875.84,20000,0,5,4,1,80.0,4,1,-1124.16,-0.54,12.7,1,633,2018-10-30,False
DWSH,17461.95,20000,0,3,2,1,66.67,2,1,-2538.05,-0.77,22.26,2,633,2018-10-30,False
AEGN,22088.69,20000,0,25,20,5,80.0,7,2,2088.69,0.69,20.65,1,2760,2004-02-10,True
AEGN,25500.96,20000,0,17,13,4,76.47,5,1,5500.96,1.33,38.54,2,2760,2004-02-10,True
AGLE,21024.38,20000,1,12,9,3,75.0,5,2,1024.38,0.34,18.61,1,1209,2016-07-19,False
AGLE,26651.81,20000,1,7,3,4,42.86,2,2,6651.81,0.91,30.02,2,1209,2016-07-19,False
AEHR,21812.73,20000,1,26,16,10,61.54,5,3,1812.73,0.27,33.56,1,4255,2004-01-28,True
AEHR,17377.63,20000,1,16,9,7,56.25,2,2,-2622.37,-0.28,63.39,2,4255,2004-01-28,True
AMTX,27332.96,20000,0,7,3,4,42.86,2,4,7332.96,0.85,38.13,1,1671,2014-09-17,False
AMTX,26135.93,20000,0,4,2,2,50.0,2,2,6135.93,0.35,68.66,2,1671,2014-09-17,False
AERI,19474.3,20000,0,13,8,5,61.54,3,2,-525.7,-0.16,20.96,1,1824,2014-02-07,False
AERI,16140.18,20000,1,7,3,4,42.86,2,3,-3859.82,-0.67,40.62,2,1824,2014-02-07,False
AVAV,24580.3,20000,0,30,19,11,63.33,7,4,4580.3,1.37,10.83,1,3527,2007-05-04,False
AVAV,21535.75,20000,1,16,10,6,62.5,4,3,1535.75,0.3,18.78,2,3527,2007-05-04,False
ARPO,17005.11,20000,0,4,2,2,50.0,2,2,-2994.89,-1.15,21.74,1,650,2018-10-05,False
ARPO,15871.79,20000,0,2,1,1,50.0,1,1,-4128.21,-1.41,27.18,2,650,2018-10-05,False
AIH,25405.88,20000,1,6,5,1,83.33,3,1,5405.88,1.84,6.49,1,902,2004-04-22,True
AIH,23068.77,20000,1,3,2,1,66.67,1,1,3068.77,1.42,27.29,2,902,2004-04-22,True
AEZS,20928.58,20000,0,26,12,14,46.15,3,7,928.58,0.1,41.14,1,4190,2004-09-15,True
AEZS,12671.73,20000,1,15,6,9,40.0,3,3,-7328.27,-0.44,67.23,2,4190,2004-09-15,True
AEMD,12463.060000000001,20000,1,6,1,5,16.67,1,3,-7536.94,-2.23,49.29,1,1385,2015-10-21,False
AEMD,3453.75,20000,1,4,0,4,0.0,0,4,-16546.25,-2.79,89.59,2,1385,2015-10-21,False
AFMD,21584.67,20000,1,9,5,4,55.56,3,2,1584.67,0.35,23.49,1,1603,2014-12-23,False
AFMD,18591.79,20000,1,6,4,2,66.67,4,2,-1408.21,-0.21,62.3,2,1603,2014-12-23,False
AFYA,19643.6,20000,1,1,0,1,0.0,0,1,-356.4,0,11.57,1,383,2019-10-29,False
AFYA,21100.62,20000,1,1,1,0,100.0,1,0,1100.62,0,11.57,2,383,2019-10-29,False
AGEN,25056.239999999998,20000,1,30,21,9,70.0,6,3,5056.24,0.92,16.12,1,4352,2004-01-13,True
AGEN,19232.13,20000,1,17,11,6,64.71,3,2,-767.87,-0.1,50.4,2,4352,2004-01-13,True
AGRX,20849.48,20000,0,12,9,3,75.0,4,1,849.48,0.32,18.77,1,1679,2014-09-04,False
AGRX,27891.4,20000,0,8,6,2,75.0,3,1,7891.4,0.92,36.81,2,1679,2014-09-04,False
AGYS,24748.6,20000,0,37,28,9,75.68,13,4,4748.6,1.61,15.48,1,4359,2004-01-13,True
AGYS,27184.04,20000,1,23,16,7,69.57,11,4,7184.04,1.03,37.05,2,4359,2004-01-13,True
AGIO,19959.69,20000,0,20,12,8,60.0,5,3,-40.31,-0.02,15.08,1,1890,2013-11-01,False
AGIO,26155.62,20000,0,12,7,5,58.33,3,3,6155.62,0.73,26.27,2,1890,2013-11-01,False
AGMH,20199.82,20000,0,3,1,2,33.33,1,2,199.82,0.16,5.49,1,673,2018-07-30,False
AGMH,20243.44,20000,1,1,1,0,100.0,1,0,243.44,0,12.65,2,673,2018-07-30,False
AGNC,19363.19,20000,0,25,17,8,68.0,6,2,-636.81,-0.41,9.3,1,3196,2008-08-26,False
AGNC,15995.33,20000,1,14,5,9,35.71,3,4,-4004.67,-1.35,28.83,2,3196,2008-08-26,False
AGNCM,20335.36,20000,0,4,4,0,100.0,4,0,335.36,1.89,1.34,1,477,2019-06-17,False
AGNCM,20508.02,20000,0,2,2,0,100.0,2,0,508.02,2.82,1.81,2,477,2019-06-17,False
AGNCN,20162.53,20000,1,5,4,1,80.0,4,1,162.53,1.99,1.17,1,858,2017-12-07,False
AGNCN,19709.42,20000,1,3,2,1,66.67,2,1,-290.58,-1.02,13.48,2,858,2017-12-07,False
AGNCO,20001.19,20000,0,1,1,0,100.0,1,0,1.19,0,0.01,1,329,2020-01-16,False
AGNCO,20216.02,20000,0,1,1,0,100.0,1,0,216.02,0,1.18,2,329,2020-01-16,False
AGNCP,19877.86,20000,0,10,5,5,50.0,2,2,-122.14,-0.64,1.51,1,1609,2012-07-18,False
AGNCP,19779.18,20000,0,6,2,4,33.33,1,2,-220.82,-0.71,2.54,2,1609,2012-07-18,False
API,433939.56,20000,0,18,10,8,55.56,3,3,413939.56,1.02,33.78,1,3067,2004-01-13,True
API,836147.83,20000,1,11,4,7,36.36,2,3,816147.83,1.04,68.62,2,3067,2004-01-13,True
AGFS,18298.37,20000,1,11,6,5,54.55,4,3,-1701.63,-0.67,23.03,1,1380,2015-11-11,False
AGFS,15775.52,20000,1,7,1,6,14.29,1,4,-4224.48,-2.36,37.36,2,1380,2015-11-11,False
ALRN,174302.11,20000,0,9,5,4,55.56,3,3,154302.11,1.0,35.22,1,1505,2010-08-10,False
ALRN,184381.84,20000,0,5,2,3,40.0,1,2,164381.84,1.01,35.23,2,1505,2010-08-10,False
AIMT,28621.75,20000,0,11,8,3,72.73,4,1,8621.75,1.25,10.94,1,1305,2015-11-16,False
AIMT,30795.8,20000,0,7,4,3,57.14,2,2,10795.8,1.37,21.67,2,1305,2015-11-16,False
AIRT,22635.34,20000,1,25,14,11,56.0,4,2,2635.34,0.99,26.03,1,4081,2004-01-21,True
AIRT,51576.009999999995,20000,1,16,9,7,56.25,4,4,31576.01,1.32,25.4,2,4081,2004-01-21,True
ATSG,22687.8,20000,0,25,15,10,60.0,6,3,2687.8,1.41,10.59,1,3195,2008-08-27,False
ATSG,38913.04,20000,1,16,10,6,62.5,4,2,18913.04,1.93,10.85,2,3195,2008-08-27,False
AIRG,20317.54,20000,0,8,5,3,62.5,4,1,317.54,0.15,11.7,1,1120,2016-11-22,False
AIRG,21025.41,20000,0,5,2,3,40.0,2,2,1025.41,0.3,22.43,2,1120,2016-11-22,False
AKAM,26445.78,20000,0,48,33,15,68.75,9,2,6445.78,1.48,14.65,1,4359,2004-01-13,True
AKAM,33493.76,20000,0,28,19,9,67.86,4,2,13493.76,1.42,28.85,2,4359,2004-01-13,True
AKTX,22629.33,20000,0,5,4,1,80.0,2,1,2629.33,1.18,11.47,1,1302,2016-01-05,False
AKTX,22584.8,20000,0,3,2,1,66.67,1,1,2584.8,0.61,41.59,2,1302,2016-01-05,False
AKCA,23010.61,20000,0,9,7,2,77.78,6,2,3010.61,0.88,15.37,1,816,2017-10-24,False
AKCA,21466.66,20000,1,5,3,2,60.0,3,2,1466.66,0.26,28.54,2,816,2017-10-24,False
AKBA,21127.37,20000,0,14,11,3,78.57,6,2,1127.37,0.33,23.15,1,1725,2014-07-01,False
AKBA,17155.16,20000,1,8,5,3,62.5,3,2,-2844.84,-0.62,43.37,2,1725,2014-07-01,False
KERN,19999.57,20000,1,1,0,1,0.0,0,1,-0.43,0,16.38,1,405,2019-09-27,False
KERN,21941.41,20000,1,1,1,0,100.0,1,0,1941.41,0,24.39,2,405,2019-09-27,False
AKER,19406.25,20000,0,8,4,4,50.0,3,2,-593.75,-0.62,20.57,1,1762,2014-05-06,False
AKER,20806.9,20000,0,5,2,3,40.0,1,2,806.9,0.08,41.29,2,1762,2014-05-06,False
AKTS,20401.69,20000,0,5,3,2,60.0,3,2,401.69,0.91,12.86,1,975,2017-06-22,False
AKTS,22552.22,20000,0,4,3,1,75.0,2,1,2552.22,1.09,18.84,2,975,2017-06-22,False
ALRM,20525.65,20000,0,12,8,4,66.67,3,1,525.65,0.27,9.89,1,1405,2015-10-07,False
ALRM,23757.61,20000,1,7,5,2,71.43,3,1,3757.61,1.19,16.87,2,1405,2015-10-07,False
ALSK,23130.4,20000,1,26,17,9,65.38,4,3,3130.4,0.75,13.36,1,4358,2004-01-13,True
ALSK,22885.34,20000,1,15,10,5,66.67,5,4,2885.34,0.48,40.86,2,4358,2004-01-13,True
ALACR,27500.010000000002,20000,0,3,2,1,66.67,2,1,7500.01,1.09,19.98,1,293,2019-06-26,False
ALACR,30831.58,20000,0,2,1,1,50.0,1,1,10831.58,1.15,30.22,2,293,2019-06-26,False
ALBO,21881.71,20000,0,9,4,5,44.44,2,2,1881.71,0.93,11.22,1,1061,2017-02-17,False
ALBO,27669.89,20000,0,5,3,2,60.0,2,2,7669.89,1.3,20.08,2,1061,2017-02-17,False
ALDX,26967.22,20000,0,11,9,2,81.82,6,1,6967.22,3.7,17.55,1,1691,2014-08-14,False
ALDX,35844.24,20000,0,6,6,0,100.0,6,0,15844.24,3.13,26.2,2,1691,2014-08-14,False
ALEC,19017.75,20000,0,5,2,3,40.0,2,2,-982.25,-0.33,17.45,1,495,2019-05-21,False
ALEC,21948.12,20000,1,2,1,1,50.0,1,1,1948.12,1.33,23.16,2,495,2019-05-21,False
ALRS,20556.95,20000,0,2,2,0,100.0,2,0,556.95,1.42,1.35,1,343,2019-12-26,False
ALRS,20556.98,20000,0,1,1,0,100.0,1,0,556.98,0,1.36,2,343,2019-12-26,False
ALXN,28709.510000000002,20000,0,46,36,10,78.26,11,2,8709.51,3.09,8.61,1,4359,2004-01-13,True
ALXN,32394.18,20000,1,28,19,9,67.86,13,3,12394.18,3.15,12.04,2,4359,2004-01-13,True
ALCO,21165.4,20000,0,36,22,14,61.11,8,4,1165.4,0.52,13.11,1,4359,2004-01-13,True
ALCO,19190.44,20000,1,21,10,11,47.62,4,3,-809.56,-0.2,31.14,2,4359,2004-01-13,True
ALGN,31699.85,20000,0,41,31,10,75.61,8,2,11699.85,2.37,13.69,1,4359,2004-01-13,True
ALGN,46724.270000000004,20000,1,23,18,5,78.26,15,2,26724.27,2.32,28.16,2,4359,2004-01-13,True
ALIM,20689.95,20000,0,16,10,6,62.5,2,1,689.95,0.2,20.07,1,2709,2010-08-03,False
ALIM,17936.71,20000,0,10,4,6,40.0,1,2,-2063.29,-0.47,35.29,2,2709,2010-08-03,False
ALYA,19619.28,20000,0,4,2,2,50.0,2,2,-380.72,-0.24,12.71,1,558,2019-02-19,False
ALYA,19218.4,20000,0,3,1,2,33.33,1,1,-781.6,-0.57,18.18,2,558,2019-02-19,False
ALJJ,22376.73,20000,0,5,2,3,40.0,1,2,2376.73,1.04,3.92,1,1171,2016-08-22,False
ALJJ,20112.18,20000,1,3,1,2,33.33,1,2,112.18,0.53,7.51,2,1171,2016-08-22,False
ALKS,23673.97,20000,0,45,31,14,68.89,14,2,3673.97,0.81,27.95,1,4356,2004-01-13,True
ALKS,27313.62,20000,1,27,18,9,66.67,14,3,7313.62,0.99,41.83,2,4356,2004-01-13,True
ALLK,28841.559999999998,20000,0,5,4,1,80.0,4,1,8841.56,1.39,7.01,1,634,2018-10-29,False
ALLK,33857.57,20000,0,3,3,0,100.0,3,0,13857.57,1.68,20.6,2,634,2018-10-29,False
ABTX,20100.78,20000,0,12,10,2,83.33,5,1,100.78,0.09,7.91,1,1333,2016-01-21,False
ABTX,21110.17,20000,0,7,4,3,57.14,2,1,1110.17,0.89,9.74,2,1333,2016-01-21,False
ALGT,25129.54,20000,0,35,25,10,71.43,6,2,5129.54,1.55,12.1,1,3555,2007-03-26,False
ALGT,25360.239999999998,20000,0,20,12,8,60.0,3,2,5360.24,0.84,22.24,2,3555,2007-03-26,False
ALNA,20066.93,20000,0,3,2,1,66.67,1,1,66.93,1.17,7.44,1,811,2018-02-15,False
ALNA,20703.1,20000,0,2,1,1,50.0,1,1,703.1,1.38,7.45,2,811,2018-02-15,False
ARLP,23834.41,20000,0,38,25,13,65.79,6,3,3834.41,0.94,14.76,1,4359,2004-01-13,True
ARLP,25707.02,20000,0,23,14,9,60.87,3,2,5707.02,0.6,27.7,2,4359,2004-01-13,True
LNT,20142.1,20000,1,38,30,8,78.95,8,2,142.1,0.08,10.74,1,4359,2004-01-13,True
LNT,21813.52,20000,1,23,16,7,69.57,7,2,1813.52,0.51,20.8,2,4359,2004-01-13,True
AHPI,21749.42,20000,1,16,10,6,62.5,3,1,1749.42,0.32,20.56,1,3990,2004-01-15,True
AHPI,22209.239999999998,20000,1,11,5,6,45.45,3,4,2209.24,0.2,47.53,2,3990,2004-01-15,True
AMOT,20605.12,20000,0,28,19,9,67.86,5,2,605.12,0.13,21.51,1,4310,2004-01-15,True
AMOT,32113.559999999998,20000,0,18,13,5,72.22,5,2,12113.56,1.7,23.81,2,4310,2004-01-15,True
ALLO,19917.74,20000,0,6,5,1,83.33,4,1,-82.26,-0.09,9.42,1,575,2019-01-25,False
ALLO,19755.62,20000,1,3,2,1,66.67,2,1,-244.38,-0.39,8.58,2,575,2019-01-25,False
ALLT,19561.76,20000,0,26,19,7,73.08,8,2,-438.24,-0.11,20.1,1,3566,2007-03-05,False
ALLT,19971.34,20000,1,17,10,7,58.82,4,2,-28.66,-0.0,31.18,2,3566,2007-03-05,False
MDRX,17127.86,20000,0,44,25,19,56.82,5,4,-2872.14,-0.58,39.56,1,4354,2004-01-13,True
MDRX,24670.75,20000,0,29,17,12,58.62,3,2,4670.75,0.41,36.16,2,4354,2004-01-13,True
ALNY,31642.05,20000,0,42,31,11,73.81,6,2,11642.05,2.43,9.19,1,4193,2004-09-10,True
ALNY,38019.57,20000,1,24,13,11,54.17,3,3,18019.57,1.91,16.79,2,4193,2004-09-10,True
AOSL,23337.37,20000,0,20,13,7,65.0,4,3,3337.37,2.43,7.47,1,2704,2010-08-10,False
AOSL,31835.52,20000,0,12,7,5,58.33,5,3,11835.52,1.26,15.83,2,2704,2010-08-10,False
GOOG,23467.8,20000,0,43,33,10,76.74,9,3,3467.8,1.47,12.73,1,4137,2004-11-30,True
GOOG,25156.3,20000,1,25,17,8,68.0,5,3,5156.3,1.46,18.71,2,4137,2004-11-30,True
GOOGL,21631.64,20000,0,17,15,2,88.24,12,2,1631.64,2.57,3.81,1,1715,2014-07-16,False
