Symbol,Ending Value,Starting Value,Positions Still Open,Total Positions Closed,Total Won,Total Lost,Strike Rate,Win Streak,Lose Streak,Net Profit or Loss,SQN Score,Max Drawdown %,Pyramid Limit,Total Bars,First Date Recorded,First Date Recorded Meets Requirements
KHC,19266.74,20000,1,11,7,4,63.64,4,3,-733.26,-0.49,11.76,1,1400,2015-10-14,False
KHC,17428.61,20000,1,6,3,3,50.0,2,2,-2571.39,-0.98,21.91,2,1400,2015-10-14,False
OLD,19944.12,20000,0,12,10,2,83.33,8,1,-55.88,-0.03,11.52,1,1142,2016-09-26,False
OLD,22265.68,20000,0,7,5,2,71.43,4,1,2265.68,1.0,10.98,2,1142,2016-09-26,False
LOVE,21863.22,20000,0,6,5,1,83.33,4,1,1863.22,2.38,7.59,1,649,2018-10-08,False
LOVE,19520.14,20000,1,3,1,2,33.33,1,2,-479.86,-0.15,35.95,2,649,2018-10-08,False
MEET,17695.08,20000,0,14,8,6,57.14,4,2,-2304.92,-0.85,23.9,1,2077,2012-09-14,False
MEET,19000.83,20000,1,9,6,3,66.67,3,2,-999.17,-0.23,32.28,2,2077,2012-09-14,False
MIK,19618.32,20000,0,21,14,7,66.67,5,2,-381.68,-0.15,27.41,1,2434,2004-01-13,True
MIK,29847.84,20000,1,12,8,4,66.67,6,2,9847.84,0.95,38.29,2,2434,2004-01-13,True
MIDD,24407.489999999998,20000,0,37,27,10,72.97,9,3,4407.49,1.35,13.6,1,4359,2004-01-13,True
MIDD,29406.25,20000,1,24,16,8,66.67,5,3,9406.25,1.35,28.75,2,4359,2004-01-13,True
STKS,22006.73,20000,0,5,3,2,60.0,2,1,2006.73,1.83,4.99,1,1407,2015-08-31,False
STKS,21449.65,20000,0,3,2,1,66.67,2,1,1449.65,0.59,25.12,2,1407,2015-08-31,False
PECK,20014.14,20000,0,1,1,0,100.0,1,0,14.14,0,0.02,1,397,2019-10-01,False
PECK,47289.58,20000,0,1,1,0,100.0,1,0,27289.58,0,32.89,2,397,2019-10-01,False
PNTG,21062.8,20000,0,3,3,0,100.0,3,0,1062.8,2.07,3.77,1,332,2020-01-13,False
PNTG,19536.02,20000,1,1,0,1,0.0,0,1,-463.98,0,18.7,2,332,2020-01-13,False
PRSC,32235.190000000002,20000,1,31,22,9,70.97,7,3,12235.19,1.27,24.43,1,4345,2004-01-14,True
PRSC,51167.4,20000,1,18,12,6,66.67,5,2,31167.4,1.4,23.8,2,4345,2004-01-14,True
REAL,23732.16,20000,0,5,4,1,80.0,3,1,3732.16,1.39,5.27,1,730,2004-01-16,True
REAL,22830.75,20000,0,4,4,0,100.0,4,0,2830.75,2.39,20.21,2,730,2004-01-16,True
RMR,21222.73,20000,0,24,15,9,62.5,7,3,1222.73,0.29,21.77,1,2668,2004-04-02,True
RMR,169179.74,20000,0,14,8,6,57.14,4,3,149179.74,1.02,50.83,2,2668,2004-04-02,True
RUBI,25507.239999999998,20000,0,11,8,3,72.73,4,1,5507.24,2.81,5.92,1,1573,2014-07-15,False
RUBI,23747.46,20000,0,6,4,2,66.67,2,1,3747.46,0.66,18.59,2,1573,2014-07-15,False
SMPL,21604.66,20000,0,10,10,0,100.0,10,0,1604.66,2.44,6.98,1,1469,2013-02-27,False
SMPL,22991.33,20000,0,5,5,0,100.0,5,0,2991.33,1.43,11.65,2,1469,2013-02-27,False
TTD,25542.59,20000,1,11,9,2,81.82,8,2,5542.59,1.92,12.84,1,1093,2017-01-03,False
TTD,39358.6,20000,1,6,6,0,100.0,6,0,19358.6,3.45,13.18,2,1093,2017-01-03,False
YORW,22509.84,20000,0,35,25,10,71.43,7,3,2509.84,1.55,9.25,1,4358,2004-01-13,True
YORW,26168.29,20000,1,22,17,5,77.27,6,1,6168.29,1.89,14.96,2,4358,2004-01-13,True
NCTY,9930.35,20000,0,23,14,9,60.87,10,3,-10069.65,-1.83,59.21,1,4048,2005-03-30,True
NCTY,6025.01,20000,1,14,7,7,50.0,3,2,-13974.99,-1.43,89.8,2,4048,2005-03-30,True
TXMD,23733.83,20000,0,13,6,7,46.15,3,3,3733.83,0.97,12.09,1,1954,2013-08-02,False
TXMD,20309.58,20000,0,8,3,5,37.5,2,3,309.58,0.11,28.44,2,1954,2013-08-02,False
THTX,19285.9,20000,0,1,0,1,0.0,0,1,-714.1,0,6.85,1,325,2020-01-23,False
THTX,19676.14,20000,0,1,0,1,0.0,0,1,-323.86,0,6.85,2,325,2020-01-23,False
TBPH,20696.7,20000,0,14,10,4,71.43,8,2,696.7,0.35,11.17,1,1674,2014-09-12,False
TBPH,25087.989999999998,20000,0,10,6,4,60.0,4,2,5087.99,0.84,20.17,2,1674,2014-09-12,False
TCRD,19333.43,20000,0,19,14,5,73.68,6,1,-666.57,-0.53,10.9,1,2588,2010-08-03,False
TCRD,17248.81,20000,0,10,5,5,50.0,2,2,-2751.19,-1.31,21.09,2,2588,2010-08-03,False
TLRY,15658.6,20000,0,2,0,2,0.0,0,2,-4341.4,-24.93,38.38,1,634,2018-10-29,False
TLRY,16041.71,20000,0,2,0,2,0.0,0,2,-3958.29,-43.2,36.65,2,634,2018-10-29,False
TSBK,20377.28,20000,0,26,18,8,69.23,6,2,377.28,0.15,15.98,1,4156,2004-01-16,True
TSBK,27812.83,20000,1,14,8,6,57.14,4,4,7812.83,1.58,18.58,2,4156,2004-01-16,True
TIPT,18885.7,20000,1,12,7,5,58.33,4,2,-1114.3,-0.66,12.26,1,1845,2013-12-30,False
TIPT,18940.01,20000,1,7,2,5,28.57,2,3,-1059.99,-0.37,22.94,2,1845,2013-12-30,False
TITN,21731.53,20000,0,31,19,12,61.29,8,4,1731.53,0.53,19.6,1,3306,2008-03-20,False
TITN,24039.83,20000,0,20,12,8,60.0,6,2,4039.83,0.64,40.17,2,3306,2008-03-20,False
TMDI,31068.940000000002,20000,1,4,3,1,75.0,2,1,11068.94,1.18,42.81,1,648,2018-10-08,False
TMDI,44493.22,20000,1,2,1,1,50.0,1,1,24493.22,1.07,46.88,2,648,2018-10-08,False
TTNP,17952.72,20000,1,3,1,2,33.33,1,2,-2047.28,-0.71,18.09,1,1330,2016-01-26,False
TTNP,17375.3,20000,1,2,1,1,50.0,1,1,-2624.7,-0.87,30.77,2,1330,2016-01-26,False
TVTY,18156.71,20000,0,9,7,2,77.78,7,2,-1843.29,-0.58,21.49,1,1016,2017-04-25,False
TVTY,23352.42,20000,0,6,5,1,83.33,5,1,3352.42,1.88,24.58,2,1016,2017-04-25,False
TLSA,26684.29,20000,1,2,1,1,50.0,1,1,6684.29,1.19,28.97,1,504,2019-04-11,False
TLSA,27920.52,20000,1,2,2,0,100.0,2,0,7920.52,1.68,27.64,2,504,2019-04-11,False
TMUS,21516.42,20000,1,20,15,5,75.0,5,2,1516.42,2.23,4.44,1,1948,2013-08-12,False
TMUS,24527.29,20000,1,10,8,2,80.0,6,2,4527.29,2.26,8.32,2,1948,2013-08-12,False
TNXP,22334.0,20000,1,4,3,1,75.0,2,1,2334.0,1.55,21.75,1,1878,2013-11-19,False
TNXP,20446.0,20000,1,2,2,0,100.0,2,0,446.0,1.45,54.91,2,1878,2013-11-19,False
TRCH,13793.18,20000,0,6,0,6,0.0,0,6,-6206.82,-4.52,41.45,1,1789,2014-03-31,False
TRCH,24192.63,20000,0,5,2,3,40.0,1,2,4192.63,0.68,46.39,2,1789,2014-03-31,False
TRMD,22209.78,20000,1,18,9,9,50.0,3,3,2209.78,0.21,37.16,1,2886,2004-02-05,True
