Symbol,Ending Value,Starting Value,Positions Still Open,Total Positions Closed,Total Won,Total Lost,Strike Rate,Win Streak,Lose Streak,Net Profit or Loss,SQN Score,Max Drawdown %,Pyramid Limit,Total Bars,First Date Recorded,First Date Recorded Meets Requirements
DUK,23398.85,20000,1,49,37,12,75.51,9,3,3398.85,2.04,7.28,1,4359,2004-01-13,True
DUK,25934.84,20000,1,29,23,6,79.31,13,2,5934.84,2.51,12.39,2,4359,2004-01-13,True
DUKB,20376.1,20000,1,5,5,0,100.0,5,0,376.1,3.26,0.46,1,590,2019-01-03,False
DUKB,20214.3,20000,1,2,2,0,100.0,2,0,214.3,2.83,5.08,2,590,2019-01-03,False
DUKH,20652.01,20000,0,19,14,5,73.68,7,2,652.01,1.26,4.88,1,2020,2013-04-30,False
DUKH,21143.68,20000,1,11,8,3,72.73,4,1,1143.68,2.9,5.05,2,2020,2013-04-30,False
DRE,22564.239999999998,20000,0,45,32,13,71.11,7,2,2564.24,1.34,6.66,1,4359,2004-01-13,True
DRE,20424.02,20000,0,27,16,11,59.26,6,4,424.02,0.09,37.62,2,4359,2004-01-13,True
DD,21922.69,20000,0,41,30,11,73.17,9,3,1922.69,0.71,15.61,1,3921,2004-01-13,True
DD,26084.739999999998,20000,0,23,16,7,69.57,4,2,6084.74,1.24,17.23,2,3921,2004-01-13,True
DXC,20842.77,20000,0,8,6,2,75.0,3,2,842.77,0.62,11.8,1,960,2017-07-14,False
DXC,19466.56,20000,1,4,3,1,75.0,2,1,-533.44,-0.17,20.18,2,960,2017-07-14,False
DY,20756.54,20000,0,42,31,11,73.81,12,2,756.54,0.16,27.13,1,4359,2004-01-13,True
DY,27551.41,20000,1,21,11,10,52.38,4,4,7551.41,0.9,35.52,2,4359,2004-01-13,True
DLNG,20360.55,20000,0,9,5,4,55.56,4,3,360.55,0.08,21.91,1,1811,2014-02-27,False
DLNG,18648.47,20000,0,5,1,4,20.0,1,2,-1351.53,-1.08,30.14,2,1811,2014-02-27,False
DT,20725.36,20000,0,20,9,11,45.0,5,5,725.36,0.31,14.6,1,2065,2004-01-13,True
DT,21037.41,20000,1,11,5,6,45.45,3,4,1037.41,0.26,24.1,2,2065,2004-01-13,True
DX,20203.3,20000,1,29,16,13,55.17,4,2,203.3,0.12,16.34,1,4356,2004-01-14,True
DX,22460.8,20000,1,18,11,7,61.11,5,2,2460.8,0.84,15.63,2,4356,2004-01-14,True
ELF,18914.24,20000,0,8,4,4,50.0,3,3,-1085.76,-0.56,16.78,1,1092,2017-01-04,False
ELF,20038.08,20000,0,5,1,4,20.0,1,3,38.08,0.01,22.18,2,1092,2017-01-04,False
EGIF,20723.45,20000,0,11,10,1,90.91,6,1,723.45,2.43,1.54,1,1285,2015-09-30,False
EGIF,19193.03,20000,0,7,5,2,71.43,4,1,-806.97,-0.66,14.09,2,1285,2015-09-30,False
EXP,21030.5,20000,0,39,29,10,74.36,8,3,1030.5,0.26,16.51,1,4275,2004-05-13,True
EXP,21955.18,20000,0,25,15,10,60.0,5,3,1955.18,0.29,38.94,2,4275,2004-05-13,True
ECC,19985.55,20000,0,11,6,5,54.55,3,3,-14.45,-0.02,9.7,1,2158,2004-11-05,True
