Symbol,Ending Value,Starting Value,Positions Still Open,Total Positions Closed,Total Won,Total Lost,Strike Rate,Win Streak,Lose Streak,Net Profit or Loss,SQN Score,Max Drawdown %,Pyramid Limit,Total Bars,First Date Recorded,First Date Recorded Meets Requirements
LSBK,21864.13,20000,0,11,5,6,45.45,2,3,1864.13,1.33,5.01,1,2349,2006-07-21,False
LSBK,23146.23,20000,0,6,4,2,66.67,2,1,3146.23,1.52,8.4,2,2349,2006-07-21,False
LBAI,26757.81,20000,0,44,30,14,68.18,6,3,6757.81,2.88,6.31,1,4359,2004-01-13,True
LBAI,30330.440000000002,20000,0,27,19,8,70.37,6,2,10330.44,2.51,13.58,2,4359,2004-01-13,True
LKFN,22251.6,20000,0,40,28,12,70.0,6,3,2251.6,1.04,10.77,1,4359,2004-01-13,True
LKFN,22985.9,20000,0,23,15,8,65.22,4,2,2985.9,0.91,16.92,2,4359,2004-01-13,True
LAKE,38706.29,20000,0,31,22,9,70.97,7,2,18706.29,1.34,14.84,1,4333,2004-01-16,True
LAKE,40077.65,20000,1,18,11,7,61.11,3,4,20077.65,1.4,19.15,2,4333,2004-01-16,True
LRCX,23263.85,20000,0,42,26,16,61.9,6,6,3263.85,0.93,21.03,1,4359,2004-01-13,True
LRCX,35089.97,20000,0,25,17,8,68.0,7,4,15089.97,2.17,21.82,2,4359,2004-01-13,True
LAMR,17465.46,20000,1,42,28,14,66.67,7,4,-2534.54,-0.67,21.55,1,4359,2004-01-13,True
LAMR,22595.59,20000,1,26,16,10,61.54,3,3,2595.59,0.34,25.93,2,4359,2004-01-13,True
LANC,22191.21,20000,0,33,26,7,78.79,6,1,2191.21,1.34,8.84,1,4359,2004-01-13,True
LANC,23470.25,20000,0,21,15,6,71.43,7,2,3470.25,1.35,14.81,2,4359,2004-01-13,True
LCAHU,22328.37,20000,0,4,4,0,100.0,4,0,2328.37,1.85,2.47,1,700,2016-11-11,False
LCAHU,22664.18,20000,1,2,2,0,100.0,2,0,2664.18,1.43,5.88,2,700,2016-11-11,False
LNDC,22485.39,20000,0,39,29,10,74.36,9,2,2485.39,0.87,9.56,1,4359,2004-01-13,True
LNDC,24438.65,20000,1,22,16,6,72.73,6,2,4438.65,0.88,28.82,2,4359,2004-01-13,True
LARK,20919.27,20000,0,18,9,9,50.0,3,3,919.27,0.5,10.46,1,3196,2004-01-28,True
LARK,21954.54,20000,1,12,7,5,58.33,4,2,1954.54,0.66,12.16,2,3196,2004-01-28,True
LMRK,22197.06,20000,0,11,10,1,90.91,9,1,2197.06,2.34,6.27,1,1558,2015-03-02,False
LMRK,21192.27,20000,0,6,4,2,66.67,3,1,1192.27,1.06,18.17,2,1558,2015-03-02,False
LMRKN,19236.67,20000,0,2,0,2,0.0,0,2,-763.33,-10.76,12.36,1,677,2018-08-03,False
LMRKN,19463.47,20000,0,1,0,1,0.0,0,1,-536.53,0,24.2,2,677,2018-08-03,False
LMRKO,21177.66,20000,0,7,5,2,71.43,3,2,1177.66,1.26,3.98,1,1099,2016-12-13,False
LMRKO,20359.03,20000,1,3,2,1,66.67,1,1,359.03,1.23,4.03,2,1099,2016-12-13,False
LMRKP,20124.69,20000,0,7,4,3,57.14,2,2,124.69,1.57,0.26,1,1159,2016-08-17,False
LMRKP,19407.88,20000,0,5,3,2,60.0,1,1,-592.12,-0.79,10.31,2,1159,2016-08-17,False
LE,22044.69,20000,0,10,7,3,70.0,4,1,2044.69,0.5,18.82,1,1713,2014-07-18,False
LE,20016.69,20000,1,6,2,4,33.33,2,2,16.69,0.0,31.32,2,1713,2014-07-18,False
LSTR,23026.510000000002,20000,0,46,37,9,80.43,12,3,3026.51,1.22,9.95,1,4359,2004-01-13,True
LSTR,27215.22,20000,1,28,22,6,78.57,5,1,7215.22,1.55,18.76,2,4359,2004-01-13,True
LNTH,24798.85,20000,0,10,6,4,60.0,2,2,4798.85,1.42,3.31,1,1406,2015-10-06,False
LNTH,42174.1,20000,0,7,4,3,57.14,2,2,22174.1,1.39,24.95,2,1406,2015-10-06,False
LTRX,17327.45,20000,0,25,16,9,64.0,6,2,-2672.55,-0.48,35.64,1,4255,2004-01-13,True
LTRX,14789.29,20000,1,17,9,8,52.94,3,2,-5210.71,-0.82,56.2,2,4255,2004-01-13,True
LSCC,21363.65,20000,0,37,21,16,56.76,7,4,1363.65,0.35,17.84,1,4359,2004-01-13,True
LSCC,23453.97,20000,1,21,10,11,47.62,4,2,3453.97,0.46,25.82,2,4359,2004-01-13,True
